;cnpj;code;text
0;13.966.572/0001-71;62.02-3-00;Desenvolvimento e licenciamento de programas de computador customizáveis
1;12.839.955/0001-16;62.01-5-01;Desenvolvimento de programas de computador sob encomenda
2;16.569.357/0001-25;62.01-5-01;Desenvolvimento de programas de computador sob encomenda
