;abertura;capital_social;cnpj;nome
0;06/07/2011;1117796.00;13.966.572/0001-71;CAPPTA S.A.
1;09/11/2010;4206983.36;12.839.955/0001-16;EQUALS SOCIEDADE ANONIMA
2;11/07/2012;38553675.79;16.569.357/0001-25;BUY4 PROCESSAMENTO DE PAGAMENTOS S.A.
